ProcurementPlanID,FinancialYear,Directorate,CostCentre,RegionCode,ProcurementDescription,ProcurementCategory,ProcurementMethod,PlannedProcurementDate,EstimatedCost,ApprovedBudget,ActualContractValue,SupplierCategory,TenderReference,ContractStartDate,ContractEndDate,ProcurementStatus,PercentageComplete,AmountPaid,OutstandingContractAmount,ResponsibleRole,DelayDays,RiskRating
PP-00018,FY2023/2024,DIR-11,CC-031,RG-01,Printing and Stationery - Technical Service Unit 03,Fuel and Lubricants,Low-Value Procurement,2023-12-12,4961000,5009000,5452000,Maintenance,TND-550066,2024-01-22,2024-05-02,Cancelled,61,3337000,2115000,Procurement Officer,0,Low
PP-00019,FY2023/2024,DIR-05,CC-005,RG-01,Construction - Procurement and Supply Chain Directorate - HQ,Cleaning Services,Request for Quotations,2023-11-19,5930000,6094000,5772000,Utilities,TND-116614,2024-02-08,2024-11-01,Delayed,93,5395000,377000,Procurement Officer,8,Low
PP-00020,FY2023/2024,DIR-05,CC-005,RG-01,Security Services - Procurement and Supply Chain Directorate - HQ,Security Services,Restricted Tender,2023-11-26,5827000,5714000,0,Travel and Accommodation,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00021,FY2023/2024,DIR-13,CC-020,RG-07,Utilities - Regional Office - Rift Valley Region,Utilities,Restricted Tender,2024-01-30,5452000,5689000,5228000,Utilities,TND-986982,2024-03-24,2024-11-03,Evaluation,24,1273000,3955000,Procurement Officer,0,Low
PP-00022,FY2023/2024,DIR-13,CC-017,RG-04,Security Services - Regional Office - Eastern Region,Maintenance,Direct Procurement,2024-01-12,5633000,5542000,6369000,Construction,TND-476142,2024-03-19,2024-08-15,Evaluation,33,2106000,4263000,Procurement Officer,0,Low
PP-00023,FY2023/2024,DIR-12,CC-027,RG-03,Construction - Infrastructure Project Unit 06,Security Services,Request for Quotations,2023-09-18,6628000,6710000,7249000,Equipment,TND-437850,2023-10-25,2024-05-01,Completed,79,5746000,1503000,Procurement Officer,14,Low
PP-00024,FY2023/2024,DIR-11,CC-011,RG-01,Office Furniture - Technical Operations Directorate - HQ,Professional Services,Restricted Tender,2023-08-05,6004000,6484000,5661000,Fuel and Lubricants,TND-663489,2023-09-11,2024-03-27,Contract Signed,93,5246000,415000,Procurement Officer,0,Low
PP-00025,FY2023/2024,DIR-12,CC-026,RG-04,Training - Infrastructure Project Unit 05,Office Furniture,Request for Quotations,2024-01-28,2815000,2955000,3031000,Printing and Stationery,TND-745362,2024-03-20,2024-08-01,Contract Signed,41,1239000,1792000,Procurement Officer,0,Low
PP-00026,FY2023/2024,DIR-11,CC-029,RG-02,Training - Technical Service Unit 01,Training,Low-Value Procurement,2023-07-28,1527000,1565000,0,Equipment,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00027,FY2023/2024,DIR-09,CC-009,RG-01,Professional Services - Corporate Communications and Customer Experience Directorate - HQ,Professional Services,Open Tender,2023-08-27,5951000,5963000,5686000,Maintenance,TND-841227,2023-10-11,2024-04-29,Contract Signed,29,1676000,4010000,Procurement Officer,0,Low
PP-00028,FY2023/2024,DIR-11,CC-011,RG-01,Travel and Accommodation - Technical Operations Directorate - HQ,Equipment,Direct Procurement,2023-07-04,4970000,5075000,0,Maintenance,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00029,FY2023/2024,DIR-12,CC-025,RG-04,Maintenance - Infrastructure Project Unit 04,ICT Services,Open Tender,2024-02-27,7294000,7125000,0,Construction,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00030,FY2023/2024,DIR-06,CC-006,RG-01,Medical Supplies - Information and Communication Technology Directorate - HQ,Security Services,Direct Procurement,2023-09-28,914000,993000,0,ICT Services,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00031,FY2023/2024,DIR-08,CC-008,RG-01,Printing and Stationery - Internal Audit and Risk Directorate - HQ,Maintenance,Direct Procurement,2023-08-25,2919000,3208000,2884000,Travel and Accommodation,TND-634358,2023-10-15,2024-10-04,Contract Signed,75,2161000,723000,Procurement Officer,0,Low
PP-00032,FY2023/2024,DIR-09,CC-009,RG-01,Cleaning Services - Corporate Communications and Customer Experience Directorate - HQ,Training,Framework Agreement,2024-03-13,2511000,2470000,2488000,ICT Services,TND-823964,2024-06-11,2025-05-13,Completed,78,1951000,537000,Procurement Officer,28,Medium
PP-00033,FY2023/2024,DIR-04,CC-004,RG-01,Utilities - Human Resource and Administration Directorate - HQ,Equipment,Direct Procurement,2023-11-11,1654000,1697000,1846000,Fuel and Lubricants,TND-454818,2024-02-08,2025-01-24,Cancelled,54,1002000,844000,Procurement Officer,0,Low
PP-00034,FY2023/2024,DIR-03,CC-003,RG-01,"Equipment - Strategy, Planning and Performance Directorate - HQ",Equipment,Direct Procurement,2023-08-22,6806000,6898000,7476000,Equipment,TND-127041,2023-11-10,2024-07-11,Delayed,100,7476000,0,Procurement Officer,108,Critical
PP-00035,FY2023/2024,DIR-11,CC-031,RG-01,Utilities - Technical Service Unit 03,Training,Low-Value Procurement,2023-10-31,411000,427000,441000,Equipment,TND-326304,2023-12-02,2024-10-02,Cancelled,78,342000,99000,Procurement Officer,0,Low
PP-00036,FY2023/2024,DIR-01,CC-001,RG-01,Medical Supplies - Office of the Chief Executive Officer - HQ,Printing and Stationery,Request for Quotations,2023-09-22,3286000,3378000,3075000,Consultancy,TND-260714,2023-11-09,2024-09-28,Ongoing,70,2154000,921000,Procurement Officer,1,Low
PP-00037,FY2023/2024,DIR-13,CC-013,RG-01,Travel and Accommodation - Regional Operations Directorate - HQ,Medical Supplies,Low-Value Procurement,2024-03-29,2965000,2957000,3323000,Printing and Stationery,TND-867633,2024-05-05,2025-03-23,Contract Signed,25,831000,2492000,Procurement Officer,0,Low
PP-00038,FY2023/2024,DIR-13,CC-020,RG-07,Printing and Stationery - Regional Office - Rift Valley Region,Construction,Low-Value Procurement,2024-01-19,3267000,3437000,2902000,Travel and Accommodation,TND-799322,2024-03-03,2025-02-19,Ongoing,51,1494000,1408000,Procurement Officer,37,Medium
PP-00039,FY2023/2024,DIR-11,CC-029,RG-02,Medical Supplies - Technical Service Unit 01,Security Services,Direct Procurement,2023-08-19,5283000,5319000,0,Consultancy,,,,Completed,0,0,0,Procurement Officer,5,Low
PP-00040,FY2023/2024,DIR-13,CC-014,RG-01,Medical Supplies - Regional Office - Nairobi Region,Equipment,Open Tender,2023-12-17,2356000,2513000,2276000,ICT Services,TND-499017,2024-02-21,2024-08-27,Cancelled,80,1815000,461000,Procurement Officer,0,Low
PP-00041,FY2023/2024,DIR-09,CC-009,RG-01,Fuel and Lubricants - Corporate Communications and Customer Experience Directorate - HQ,Office Furniture,Low-Value Procurement,2023-11-14,2732000,2947000,2813000,Training,TND-867653,2023-12-27,2024-11-15,Ongoing,20,565000,2248000,Procurement Officer,52,High
PP-00042,FY2023/2024,DIR-12,CC-024,RG-05,Maintenance - Infrastructure Project Unit 03,Medical Supplies,Direct Procurement,2023-12-15,3622000,3495000,3877000,Training,TND-135201,2024-01-27,2024-12-08,Planned,27,1057000,2820000,Procurement Officer,0,Low
PP-00043,FY2023/2024,DIR-11,CC-011,RG-01,Equipment - Technical Operations Directorate - HQ,Travel and Accommodation,Low-Value Procurement,2023-08-24,4116000,4038000,0,Training,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00044,FY2023/2024,DIR-11,CC-029,RG-02,Security Services - Technical Service Unit 01,Professional Services,Open Tender,2024-01-26,7958000,8067000,8841000,Fuel and Lubricants,TND-697905,2024-04-06,2024-11-25,Planned,59,5237000,3604000,Procurement Officer,0,Low
PP-00045,FY2023/2024,DIR-13,CC-014,RG-01,Consultancy - Regional Office - Nairobi Region,Equipment,Open Tender,2024-01-08,3157000,3472000,3167000,Fuel and Lubricants,TND-782883,2024-03-12,2024-12-12,Contract Signed,87,2765000,402000,Procurement Officer,0,Low
PP-00046,FY2023/2024,DIR-08,CC-008,RG-01,Office Furniture - Internal Audit and Risk Directorate - HQ,Security Services,Low-Value Procurement,2023-07-05,3250000,3198000,3444000,ICT Services,TND-349851,2023-09-14,2024-06-24,Cancelled,37,1280000,2164000,Procurement Officer,0,Low
PP-00047,FY2023/2024,DIR-07,CC-007,RG-01,Training - Legal and Corporation Secretary Directorate - HQ,Security Services,Low-Value Procurement,2023-09-02,3994000,4134000,0,ICT Services,,,,Delayed,0,0,0,Procurement Officer,78,High
PP-00048,FY2023/2024,DIR-13,CC-013,RG-01,Consultancy - Regional Operations Directorate - HQ,Construction,Open Tender,2024-03-04,3953000,3977000,0,Equipment,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00049,FY2023/2024,DIR-06,CC-006,RG-01,Maintenance - Information and Communication Technology Directorate - HQ,Cleaning Services,Request for Quotations,2023-12-15,6640000,6660000,7396000,Training,TND-375495,2024-01-14,2024-07-04,Completed,44,3242000,4154000,Procurement Officer,108,Critical
PP-00050,FY2023/2024,DIR-08,CC-008,RG-01,Security Services - Internal Audit and Risk Directorate - HQ,Consultancy,Restricted Tender,2024-03-24,7538000,7983000,7794000,Maintenance,TND-609842,2024-05-03,2024-12-06,Delayed,43,3369000,4425000,Procurement Officer,103,Critical
PP-00051,FY2023/2024,DIR-13,CC-016,RG-03,Fuel and Lubricants - Regional Office - Coast Region,Utilities,Low-Value Procurement,2023-08-24,486000,526000,0,ICT Services,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00052,FY2023/2024,DIR-12,CC-028,RG-02,Travel and Accommodation - Infrastructure Project Unit 07,Printing and Stationery,Direct Procurement,2024-03-08,3805000,3800000,0,Construction,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00053,FY2023/2024,DIR-12,CC-023,RG-01,Office Furniture - Infrastructure Project Unit 02,ICT Services,Request for Quotations,2023-12-16,7147000,7651000,0,Security Services,,,,Completed,0,0,0,Procurement Officer,115,Critical
PP-00054,FY2023/2024,DIR-13,CC-013,RG-01,Office Furniture - Regional Operations Directorate - HQ,Construction,Restricted Tender,2023-11-15,1605000,1680000,1434000,Utilities,TND-942276,2024-01-22,2024-06-30,Delayed,45,647000,787000,Procurement Officer,119,Critical
PP-00055,FY2023/2024,DIR-11,CC-032,RG-01,Fuel and Lubricants - Technical Service Unit 04,Consultancy,Open Tender,2024-02-23,7589000,7804000,7381000,Travel and Accommodation,TND-859386,2024-05-07,2024-10-28,Completed,94,6959000,422000,Procurement Officer,37,Medium
PP-00056,FY2023/2024,DIR-12,CC-023,RG-01,Construction - Infrastructure Project Unit 02,Travel and Accommodation,Open Tender,2024-01-19,3363000,3488000,0,Consultancy,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00057,FY2023/2024,DIR-12,CC-027,RG-03,Medical Supplies - Infrastructure Project Unit 06,Construction,Request for Quotations,2023-11-07,4794000,5089000,5388000,Travel and Accommodation,TND-996282,2023-12-07,2024-11-17,Advertised,93,4987000,401000,Procurement Officer,0,Low
PP-00058,FY2023/2024,DIR-08,CC-008,RG-01,Construction - Internal Audit and Risk Directorate - HQ,Security Services,Request for Quotations,2024-01-21,7792000,8208000,7375000,Utilities,TND-867680,2024-02-24,2024-12-26,Cancelled,59,4351000,3024000,Procurement Officer,0,Low
PP-00059,FY2023/2024,DIR-11,CC-029,RG-02,Printing and Stationery - Technical Service Unit 01,Cleaning Services,Open Tender,2023-10-07,6832000,6979000,7625000,Maintenance,TND-542606,2023-12-22,2024-04-03,Planned,68,5188000,2437000,Procurement Officer,0,Low
PP-00060,FY2023/2024,DIR-11,CC-030,RG-07,Medical Supplies - Technical Service Unit 02,ICT Services,Low-Value Procurement,2023-08-06,7075000,7588000,6731000,Fuel and Lubricants,TND-333032,2023-09-24,2024-07-26,Ongoing,37,2467000,4264000,Procurement Officer,71,High
PP-00061,FY2023/2024,DIR-13,CC-016,RG-03,Maintenance - Regional Office - Coast Region,Professional Services,Restricted Tender,2023-11-23,1926000,1971000,2118000,ICT Services,TND-434235,2023-12-31,2024-06-15,Cancelled,78,1643000,475000,Procurement Officer,0,Low
PP-00062,FY2023/2024,DIR-06,CC-006,RG-01,Cleaning Services - Information and Communication Technology Directorate - HQ,Travel and Accommodation,Open Tender,2023-09-13,3411000,3415000,3211000,Equipment,TND-687548,2023-11-04,2024-10-11,Contract Signed,40,1300000,1911000,Procurement Officer,0,Low
PP-00063,FY2023/2024,DIR-11,CC-011,RG-01,ICT Services - Technical Operations Directorate - HQ,Fuel and Lubricants,Direct Procurement,2023-11-15,1674000,1694000,1707000,Maintenance,TND-439111,2024-01-12,2024-09-19,Evaluation,61,1040000,667000,Procurement Officer,0,Low
PP-00064,FY2023/2024,DIR-11,CC-032,RG-01,Security Services - Technical Service Unit 04,Training,Framework Agreement,2023-08-24,1120000,1155000,1259000,ICT Services,TND-892929,2023-10-29,2024-06-14,Delayed,45,563000,696000,Procurement Officer,14,Low
PP-00065,FY2023/2024,DIR-01,CC-001,RG-01,Consultancy - Office of the Chief Executive Officer - HQ,Consultancy,Open Tender,2024-03-13,6730000,6779000,6754000,Professional Services,TND-784083,2024-06-10,2024-11-26,Completed,22,1464000,5290000,Procurement Officer,32,Medium
PP-00066,FY2023/2024,DIR-11,CC-029,RG-02,Professional Services - Technical Service Unit 01,Printing and Stationery,Low-Value Procurement,2023-11-26,6677000,6470000,6698000,Maintenance,TND-348700,2024-02-23,2024-07-21,Ongoing,56,3757000,2941000,Procurement Officer,64,High
PP-00067,FY2023/2024,DIR-13,CC-017,RG-04,Travel and Accommodation - Regional Office - Eastern Region,Construction,Restricted Tender,2023-11-15,536000,556000,491000,Travel and Accommodation,TND-719772,2024-02-08,2024-06-04,Cancelled,99,487000,4000,Procurement Officer,0,Low
PP-00068,FY2023/2024,DIR-12,CC-024,RG-05,Medical Supplies - Infrastructure Project Unit 03,Equipment,Direct Procurement,2023-11-02,804000,881000,0,Maintenance,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00069,FY2023/2024,DIR-13,CC-021,RG-08,Utilities - Regional Office - Western Region,Maintenance,Direct Procurement,2023-08-10,1042000,1083000,1189000,Construction,TND-837911,2023-10-28,2024-08-02,Evaluation,63,750000,439000,Procurement Officer,0,Low
PP-00070,FY2023/2024,DIR-11,CC-032,RG-01,Consultancy - Technical Service Unit 04,Office Furniture,Framework Agreement,2023-11-25,4661000,4733000,4045000,Maintenance,TND-479711,2024-01-29,2024-08-01,Advertised,76,3088000,957000,Procurement Officer,0,Low
PP-00071,FY2023/2024,DIR-09,CC-009,RG-01,ICT Services - Corporate Communications and Customer Experience Directorate - HQ,Cleaning Services,Direct Procurement,2024-01-05,1963000,1975000,2141000,Printing and Stationery,TND-550723,2024-03-09,2025-02-02,Evaluation,96,2064000,77000,Procurement Officer,0,Low
PP-00072,FY2023/2024,DIR-13,CC-016,RG-03,Construction - Regional Office - Coast Region,Training,Request for Quotations,2024-03-10,5162000,5177000,4593000,Equipment,TND-150251,2024-05-23,2024-09-25,Advertised,55,2524000,2069000,Procurement Officer,0,Low
PP-00073,FY2023/2024,DIR-12,CC-025,RG-04,Travel and Accommodation - Infrastructure Project Unit 04,ICT Services,Restricted Tender,2024-02-18,1282000,1356000,0,Security Services,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00074,FY2023/2024,DIR-11,CC-032,RG-01,Printing and Stationery - Technical Service Unit 04,Medical Supplies,Restricted Tender,2024-01-19,1508000,1650000,1347000,Security Services,TND-743234,2024-04-07,2025-03-20,Ongoing,61,825000,522000,Procurement Officer,91,Critical
PP-00075,FY2023/2024,DIR-12,CC-012,RG-01,Consultancy - Projects and Infrastructure Directorate - HQ,ICT Services,Open Tender,2023-09-17,5099000,5360000,4547000,Security Services,TND-650826,2023-10-26,2024-07-11,Ongoing,31,1404000,3143000,Procurement Officer,79,High
PP-00076,FY2023/2024,DIR-13,CC-020,RG-07,Utilities - Regional Office - Rift Valley Region,Printing and Stationery,Direct Procurement,2024-01-04,6293000,6415000,6484000,Professional Services,TND-715117,2024-03-11,2024-08-01,Ongoing,60,3893000,2591000,Procurement Officer,85,High
PP-00077,FY2023/2024,DIR-01,CC-001,RG-01,Travel and Accommodation - Office of the Chief Executive Officer - HQ,Maintenance,Framework Agreement,2023-07-09,5957000,5894000,0,Maintenance,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00078,FY2023/2024,DIR-04,CC-004,RG-01,Professional Services - Human Resource and Administration Directorate - HQ,Construction,Direct Procurement,2023-12-30,2003000,1959000,2158000,Consultancy,TND-393552,2024-02-16,2024-08-21,Contract Signed,47,1010000,1148000,Procurement Officer,0,Low
PP-00079,FY2023/2024,DIR-05,CC-005,RG-01,Training - Procurement and Supply Chain Directorate - HQ,Cleaning Services,Request for Quotations,2023-11-11,886000,943000,0,Consultancy,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00080,FY2023/2024,DIR-13,CC-018,RG-05,Construction - Regional Office - North Eastern Region,Consultancy,Request for Quotations,2023-07-08,631000,670000,658000,Professional Services,TND-521868,2023-08-08,2024-05-19,Advertised,20,133000,525000,Procurement Officer,0,Low
PP-00081,FY2023/2024,DIR-09,CC-009,RG-01,Printing and Stationery - Corporate Communications and Customer Experience Directorate - HQ,Travel and Accommodation,Direct Procurement,2024-03-21,5691000,5633000,0,Construction,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00082,FY2023/2024,DIR-13,CC-018,RG-05,Equipment - Regional Office - North Eastern Region,Construction,Framework Agreement,2023-09-21,7848000,8594000,8843000,Security Services,TND-886934,2023-11-20,2024-11-04,Ongoing,100,8832000,11000,Procurement Officer,76,High
PP-00083,FY2023/2024,DIR-13,CC-017,RG-04,Travel and Accommodation - Regional Office - Eastern Region,Training,Restricted Tender,2023-10-05,5998000,5904000,5397000,Construction,TND-675771,2023-11-08,2024-10-22,Evaluation,73,3923000,1474000,Procurement Officer,0,Low
PP-00084,FY2023/2024,DIR-05,CC-005,RG-01,Printing and Stationery - Procurement and Supply Chain Directorate - HQ,ICT Services,Framework Agreement,2023-07-12,3706000,3919000,4083000,Travel and Accommodation,TND-284726,2023-09-24,2024-08-14,Evaluation,95,3895000,188000,Procurement Officer,0,Low
PP-00085,FY2023/2024,DIR-10,CC-010,RG-01,"Cleaning Services - Research, Monitoring and Evaluation Directorate - HQ",Professional Services,Open Tender,2023-12-23,4042000,4325000,4164000,Training,TND-932908,2024-02-29,2024-07-07,Evaluation,38,1593000,2571000,Procurement Officer,0,Low
PP-00086,FY2023/2024,DIR-13,CC-018,RG-05,Maintenance - Regional Office - North Eastern Region,Utilities,Framework Agreement,2024-01-21,5176000,5453000,4587000,Utilities,TND-291047,2024-04-12,2025-01-29,Delayed,88,4031000,556000,Procurement Officer,21,Medium
PP-00087,FY2023/2024,DIR-12,CC-024,RG-05,Security Services - Infrastructure Project Unit 03,Fuel and Lubricants,Low-Value Procurement,2023-10-22,6200000,6145000,5889000,Travel and Accommodation,TND-518329,2024-01-10,2024-06-30,Evaluation,61,3587000,2302000,Procurement Officer,0,Low
PP-00088,FY2023/2024,DIR-11,CC-031,RG-01,ICT Services - Technical Service Unit 03,Construction,Request for Quotations,2024-03-14,6827000,6935000,7637000,Construction,TND-164139,2024-06-12,2025-01-27,Advertised,85,6514000,1123000,Procurement Officer,0,Low
PP-00089,FY2023/2024,DIR-12,CC-025,RG-04,Medical Supplies - Infrastructure Project Unit 04,Utilities,Framework Agreement,2024-02-01,3329000,3527000,3399000,Equipment,TND-892218,2024-03-02,2024-07-10,Contract Signed,28,936000,2463000,Procurement Officer,0,Low
PP-00090,FY2023/2024,DIR-11,CC-030,RG-07,Professional Services - Technical Service Unit 02,Cleaning Services,Open Tender,2024-02-18,3495000,3382000,0,Construction,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00091,FY2023/2024,DIR-12,CC-012,RG-01,Consultancy - Projects and Infrastructure Directorate - HQ,Professional Services,Request for Quotations,2024-03-15,5881000,5728000,0,Utilities,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00092,FY2023/2024,DIR-11,CC-031,RG-01,Printing and Stationery - Technical Service Unit 03,Professional Services,Request for Quotations,2023-11-10,6512000,6433000,6167000,Training,TND-871787,2023-12-31,2024-06-28,Evaluation,88,5456000,711000,Procurement Officer,0,Low
PP-00093,FY2023/2024,DIR-10,CC-010,RG-01,"Consultancy - Research, Monitoring and Evaluation Directorate - HQ",Equipment,Direct Procurement,2023-11-23,336000,335000,292000,Training,TND-297049,2024-01-24,2024-12-12,Advertised,36,104000,188000,Procurement Officer,0,Low
PP-00094,FY2023/2024,DIR-11,CC-011,RG-01,Security Services - Technical Operations Directorate - HQ,Cleaning Services,Low-Value Procurement,2023-07-30,7696000,7628000,0,Construction,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00095,FY2023/2024,DIR-05,CC-005,RG-01,Training - Procurement and Supply Chain Directorate - HQ,Professional Services,Open Tender,2024-02-03,5245000,5439000,0,Utilities,,,,Completed,0,0,0,Procurement Officer,108,Critical
PP-00096,FY2023/2024,DIR-13,CC-017,RG-04,Security Services - Regional Office - Eastern Region,Training,Direct Procurement,2023-11-03,3497000,3515000,3791000,Training,TND-485213,2024-01-22,2024-07-05,Ongoing,42,1611000,2180000,Procurement Officer,63,High
PP-00097,FY2023/2024,DIR-05,CC-005,RG-01,Professional Services - Procurement and Supply Chain Directorate - HQ,Office Furniture,Framework Agreement,2023-11-14,2031000,2074000,1943000,ICT Services,TND-926736,2024-01-12,2024-11-26,Ongoing,46,897000,1046000,Procurement Officer,28,Medium
PP-00098,FY2023/2024,DIR-04,CC-004,RG-01,Utilities - Human Resource and Administration Directorate - HQ,Utilities,Open Tender,2024-03-29,7229000,7313000,7559000,Training,TND-140141,2024-05-23,2024-12-26,Cancelled,67,5067000,2492000,Procurement Officer,0,Low
PP-00099,FY2023/2024,DIR-12,CC-025,RG-04,ICT Services - Infrastructure Project Unit 04,Training,Low-Value Procurement,2024-01-04,2353000,2439000,0,Consultancy,,,,Evaluation,0,0,0,Procurement Officer,0,Low
PP-00100,FY2023/2024,DIR-11,CC-032,RG-01,Medical Supplies - Technical Service Unit 04,Travel and Accommodation,Framework Agreement,2023-09-01,4745000,4848000,5012000,ICT Services,TND-621850,2023-10-12,2024-09-22,Delayed,26,1292000,3720000,Procurement Officer,35,Medium
PP-00101,FY2023/2024,DIR-09,CC-009,RG-01,Maintenance - Corporate Communications and Customer Experience Directorate - HQ,Consultancy,Framework Agreement,2024-02-24,1346000,1355000,1212000,Fuel and Lubricants,TND-282993,2024-05-19,2025-01-11,Cancelled,24,293000,919000,Procurement Officer,0,Low
PP-00102,FY2023/2024,DIR-12,CC-024,RG-05,Professional Services - Infrastructure Project Unit 03,Training,Restricted Tender,2023-12-22,5226000,5390000,4817000,Fuel and Lubricants,TND-668271,2024-03-12,2025-01-09,Evaluation,91,4404000,413000,Procurement Officer,0,Low
