RevenueTransactionID,FinancialYear,TransactionDate,RegionCode,RevenueCentre,RevenueStream,CustomerCategory,ReceiptReference,BudgetedRevenue,ActualRevenue,Variance,CollectionChannel,ReconciliationStatus,BankingDate,DaysToBank,ResponsibleRole,ExceptionFlag,Month,FYMonthNumber
REV-000011,FY2023/2024,2024-01-02,RG-02,CC-022,Training Fees,Private Company,RCP-620694,455000,366000,-89000,Online Portal,Reconciled,2024-01-12,10,Revenue Manager,Yes,January,7
REV-000012,FY2023/2024,2024-02-05,RG-01,CC-011,Training Fees,International Organisation,RCP-795839,433000,410000,-23000,Online Portal,Reconciled,2024-02-05,0,Revenue Manager,No,February,8
REV-000013,FY2023/2024,2024-05-18,RG-01,CC-011,Certification Fees,Individual,RCP-742446,180000,154000,-26000,Cheque,Reconciled,2024-05-19,1,Revenue Manager,No,May,11
REV-000014,FY2023/2024,2023-08-01,RG-03,CC-027,Service Fees,Government Agency,RCP-223735,365000,357000,-8000,Bank Transfer,Reconciled,2023-08-15,14,Revenue Manager,Yes,August,2
REV-000015,FY2023/2024,2023-09-11,RG-08,CC-021,Facility Hire,Individual,RCP-483747,524000,451000,-73000,Bank Transfer,Reconciled,2023-09-24,13,Revenue Manager,Yes,September,3
REV-000016,FY2023/2024,2024-05-05,RG-01,CC-031,Service Fees,Individual,RCP-518151,234000,266000,32000,Cheque,Unreconciled,2024-05-18,13,Revenue Manager,Yes,May,11
REV-000017,FY2023/2024,2024-02-16,RG-01,CC-013,Service Fees,NGO,RCP-867548,432000,373000,-59000,Cash,Reconciled,2024-02-20,4,Revenue Manager,No,February,8
REV-000018,FY2023/2024,2023-09-20,RG-01,CC-008,Publication Sales,NGO,RCP-430840,413000,406000,-7000,Online Portal,Reconciled,2023-09-24,4,Revenue Manager,No,September,3
REV-000019,FY2023/2024,2024-02-18,RG-01,CC-032,Service Fees,Private Company,RCP-973571,485000,476000,-9000,MPESA,Unreconciled,2024-02-22,4,Revenue Manager,No,February,8
REV-000020,FY2023/2024,2024-01-30,RG-03,CC-016,Service Fees,Individual,RCP-280878,585000,712000,127000,Cheque,Reconciled,2024-02-11,12,Revenue Manager,Yes,January,7
REV-000021,FY2023/2024,2023-07-27,RG-06,CC-019,Certification Fees,NGO,RCP-787764,407000,331000,-76000,Cash,Reconciled,2023-08-05,9,Revenue Manager,Yes,July,1
REV-000022,FY2023/2024,2023-09-08,RG-01,CC-009,Certification Fees,NGO,RCP-631965,250000,193000,-57000,MPESA,Reconciled,2023-09-21,13,Revenue Manager,Yes,September,3
REV-000023,FY2023/2024,2023-07-07,RG-06,CC-019,Consultancy Income,Government Agency,RCP-204504,741000,489000,-252000,MPESA,Reconciled,2023-07-09,2,Revenue Manager,No,July,1
REV-000024,FY2023/2024,2024-02-17,RG-04,CC-026,Consultancy Income,Government Agency,RCP-684047,122000,117000,-5000,Online Portal,Pending,2024-02-24,7,Revenue Manager,Yes,February,8
REV-000025,FY2023/2024,2024-06-03,RG-01,CC-009,Inspection Fees,Government Agency,RCP-182966,194000,176000,-18000,Online Portal,Reconciled,2024-06-16,13,Revenue Manager,Yes,June,12
REV-000026,FY2023/2024,2024-03-21,RG-05,CC-018,Facility Hire,Individual,RCP-486542,709000,595000,-114000,MPESA,Reconciled,2024-03-21,0,Revenue Manager,No,March,9
REV-000027,FY2023/2024,2024-02-11,RG-01,CC-006,Facility Hire,NGO,RCP-673517,426000,321000,-105000,Online Portal,Reconciled,2024-02-12,1,Revenue Manager,No,February,8
REV-000028,FY2023/2024,2024-03-08,RG-01,CC-023,Facility Hire,Government Agency,RCP-480094,413000,384000,-29000,Bank Transfer,Reconciled,2024-03-21,13,Revenue Manager,Yes,March,9
REV-000029,FY2023/2024,2023-10-17,RG-02,CC-022,Licensing Fees,Individual,RCP-730781,590000,585000,-5000,Bank Transfer,Unreconciled,2023-10-21,4,Revenue Manager,No,October,4
REV-000030,FY2023/2024,2024-02-24,RG-01,CC-011,Training Fees,Individual,RCP-954484,513000,292000,-221000,Cash,Reconciled,2024-02-28,4,Revenue Manager,No,February,8
REV-000031,FY2023/2024,2024-01-05,RG-01,CC-008,Publication Sales,International Organisation,RCP-826323,364000,270000,-94000,Bank Transfer,Reconciled,2024-01-07,2,Revenue Manager,No,January,7
REV-000032,FY2023/2024,2023-10-03,RG-02,CC-028,Publication Sales,Individual,RCP-965506,363000,307000,-56000,MPESA,Unreconciled,2023-10-08,5,Revenue Manager,No,October,4
REV-000033,FY2023/2024,2023-10-14,RG-05,CC-018,Certification Fees,International Organisation,RCP-843699,467000,395000,-72000,Cash,Unreconciled,2023-10-20,6,Revenue Manager,Yes,October,4
REV-000034,FY2023/2024,2024-05-01,RG-01,CC-014,Certification Fees,Government Agency,RCP-337062,752000,719000,-33000,Online Portal,Reconciled,2024-05-06,5,Revenue Manager,No,April,10
REV-000035,FY2023/2024,2023-12-21,RG-02,CC-015,Training Fees,International Organisation,RCP-648984,495000,524000,29000,Cheque,Reconciled,2023-12-23,2,Revenue Manager,No,December,6
REV-000036,FY2023/2024,2024-04-15,RG-01,CC-011,Certification Fees,Individual,RCP-616352,332000,200000,-132000,Cash,Reconciled,2024-04-29,14,Revenue Manager,Yes,April,10
REV-000037,FY2023/2024,2024-03-14,RG-04,CC-026,Facility Hire,Government Agency,RCP-513434,130000,136000,6000,Cash,Reconciled,2024-03-23,9,Revenue Manager,Yes,March,9
REV-000038,FY2023/2024,2024-02-23,RG-01,CC-008,Inspection Fees,Individual,RCP-134806,464000,374000,-90000,Cheque,Reconciled,2024-03-06,12,Revenue Manager,Yes,February,8
REV-000039,FY2023/2024,2024-06-08,RG-02,CC-029,Facility Hire,NGO,RCP-109768,182000,172000,-10000,Online Portal,Reconciled,2024-06-16,8,Revenue Manager,Yes,June,12
REV-000040,FY2023/2024,2024-04-12,RG-01,CC-010,Consultancy Income,NGO,RCP-240870,180000,147000,-33000,Cheque,Reconciled,2024-04-24,12,Revenue Manager,Yes,April,10
REV-000041,FY2023/2024,2024-04-10,RG-02,CC-029,Publication Sales,Government Agency,RCP-243160,657000,643000,-14000,Cash,Pending,2024-04-19,9,Revenue Manager,Yes,April,10
REV-000042,FY2023/2024,2023-11-23,RG-02,CC-022,Training Fees,Individual,RCP-463389,120000,126000,6000,Cash,Pending,2023-11-28,5,Revenue Manager,No,November,5
REV-000043,FY2023/2024,2024-01-17,RG-05,CC-018,Training Fees,Private Company,RCP-727791,373000,175000,-198000,Cheque,Reconciled,2024-01-30,13,Revenue Manager,Yes,January,7
REV-000044,FY2023/2024,2023-08-23,RG-01,CC-031,Certification Fees,Government Agency,RCP-797016,438000,333000,-105000,Cheque,Reconciled,2023-08-30,7,Revenue Manager,Yes,August,2
REV-000045,FY2023/2024,2023-10-06,RG-04,CC-026,Inspection Fees,NGO,RCP-990066,278000,256000,-22000,Cash,Reconciled,2023-10-20,14,Revenue Manager,Yes,October,4
REV-000046,FY2023/2024,2023-08-16,RG-02,CC-029,Licensing Fees,Individual,RCP-843909,751000,622000,-129000,MPESA,Reconciled,2023-08-16,0,Revenue Manager,No,August,2
REV-000047,FY2023/2024,2024-02-02,RG-03,CC-016,Training Fees,Individual,RCP-443881,678000,632000,-46000,Online Portal,Reconciled,2024-02-06,4,Revenue Manager,No,February,8
REV-000048,FY2023/2024,2023-07-24,RG-01,CC-011,Certification Fees,International Organisation,RCP-418613,769000,653000,-116000,Cash,Reconciled,2023-08-07,14,Revenue Manager,Yes,July,1
REV-000049,FY2023/2024,2024-04-19,RG-07,CC-020,Consultancy Income,Individual,RCP-865351,725000,635000,-90000,Online Portal,Reconciled,2024-04-29,10,Revenue Manager,Yes,April,10
REV-000050,FY2023/2024,2024-06-19,RG-07,CC-030,Consultancy Income,Government Agency,RCP-995022,639000,497000,-142000,Cheque,Reconciled,2024-06-24,5,Revenue Manager,No,June,12
REV-000051,FY2023/2024,2023-11-14,RG-08,CC-021,Licensing Fees,Private Company,RCP-246801,125000,108000,-17000,Online Portal,Reconciled,2023-11-15,1,Revenue Manager,No,November,5
REV-000052,FY2023/2024,2023-11-30,RG-05,CC-024,Publication Sales,NGO,RCP-410946,408000,374000,-34000,Online Portal,Reconciled,2023-12-11,11,Revenue Manager,Yes,November,5
REV-000053,FY2023/2024,2023-12-28,RG-01,CC-013,Service Fees,International Organisation,RCP-834815,704000,474000,-230000,Bank Transfer,Reconciled,2024-01-10,13,Revenue Manager,Yes,December,6
REV-000054,FY2023/2024,2024-02-13,RG-01,CC-031,Inspection Fees,NGO,RCP-888270,238000,229000,-9000,MPESA,Reconciled,2024-02-16,3,Revenue Manager,No,February,8
REV-000055,FY2023/2024,2024-02-11,RG-01,CC-032,Training Fees,Private Company,RCP-749180,607000,700000,93000,Bank Transfer,Reconciled,2024-02-11,0,Revenue Manager,No,February,8
REV-000056,FY2023/2024,2023-12-10,RG-01,CC-001,Certification Fees,Private Company,RCP-916260,154000,171000,17000,MPESA,Reconciled,2023-12-13,3,Revenue Manager,No,December,6
REV-000057,FY2023/2024,2024-01-04,RG-01,CC-005,Licensing Fees,Individual,RCP-327736,765000,654000,-111000,MPESA,Reconciled,2024-01-15,11,Revenue Manager,Yes,January,7
REV-000058,FY2023/2024,2023-09-22,RG-01,CC-010,Facility Hire,NGO,RCP-689267,189000,143000,-46000,Online Portal,Reconciled,2023-09-22,0,Revenue Manager,No,September,3
REV-000059,FY2023/2024,2023-09-25,RG-01,CC-002,Consultancy Income,Individual,RCP-338472,758000,390000,-368000,MPESA,Unreconciled,2023-10-02,7,Revenue Manager,Yes,September,3
REV-000060,FY2023/2024,2024-05-03,RG-01,CC-014,Training Fees,International Organisation,RCP-153527,231000,159000,-72000,Online Portal,Pending,2024-05-13,10,Revenue Manager,Yes,May,11
REV-000061,FY2023/2024,2023-09-22,RG-03,CC-016,Training Fees,Individual,RCP-426364,334000,247000,-87000,Online Portal,Reconciled,2023-09-24,2,Revenue Manager,No,September,3
REV-000062,FY2023/2024,2023-09-27,RG-01,CC-013,Facility Hire,Government Agency,RCP-758230,794000,650000,-144000,Cash,Reconciled,2023-10-04,7,Revenue Manager,Yes,September,3
REV-000063,FY2023/2024,2023-07-09,RG-01,CC-031,Inspection Fees,International Organisation,RCP-176012,605000,509000,-96000,Cash,Reconciled,2023-07-18,9,Revenue Manager,Yes,July,1
REV-000064,FY2023/2024,2024-03-01,RG-01,CC-005,Consultancy Income,Private Company,RCP-483235,262000,254000,-8000,Cheque,Unreconciled,2024-03-07,6,Revenue Manager,Yes,March,9
REV-000065,FY2023/2024,2024-01-25,RG-01,CC-008,Training Fees,Private Company,RCP-533794,658000,502000,-156000,Cash,Reconciled,2024-02-06,12,Revenue Manager,Yes,January,7
REV-000066,FY2023/2024,2023-08-05,RG-02,CC-028,Licensing Fees,Individual,RCP-795975,531000,573000,42000,MPESA,Reconciled,2023-08-11,6,Revenue Manager,Yes,August,2
REV-000067,FY2023/2024,2024-05-21,RG-01,CC-002,Licensing Fees,Government Agency,RCP-412884,659000,628000,-31000,Bank Transfer,Reconciled,2024-05-29,8,Revenue Manager,Yes,May,11
REV-000068,FY2023/2024,2023-09-26,RG-01,CC-002,Certification Fees,Government Agency,RCP-714291,228000,237000,9000,Cheque,Reconciled,2023-10-08,12,Revenue Manager,Yes,September,3
REV-000069,FY2023/2024,2024-04-08,RG-01,CC-032,Inspection Fees,Government Agency,RCP-733580,593000,549000,-44000,Cash,Reconciled,2024-04-11,3,Revenue Manager,No,April,10
REV-000070,FY2023/2024,2024-06-13,RG-01,CC-008,Consultancy Income,NGO,RCP-189892,629000,604000,-25000,MPESA,Reconciled,2024-06-16,3,Revenue Manager,No,June,12
REV-000071,FY2023/2024,2024-01-28,RG-01,CC-007,Training Fees,Individual,RCP-313773,442000,342000,-100000,Cash,Reconciled,2024-02-01,4,Revenue Manager,No,January,7
REV-000072,FY2023/2024,2023-09-12,RG-06,CC-019,Service Fees,NGO,RCP-882407,522000,429000,-93000,MPESA,Reconciled,2023-09-22,10,Revenue Manager,Yes,September,3
REV-000073,FY2023/2024,2024-02-26,RG-02,CC-029,Facility Hire,Private Company,RCP-445543,653000,828000,175000,Online Portal,Reconciled,2024-02-28,2,Revenue Manager,No,February,8
REV-000074,FY2023/2024,2023-09-29,RG-01,CC-008,Training Fees,Government Agency,RCP-137668,551000,395000,-156000,Online Portal,Reconciled,2023-10-06,7,Revenue Manager,Yes,September,3
REV-000075,FY2023/2024,2023-07-02,RG-01,CC-013,Facility Hire,NGO,RCP-651588,582000,412000,-170000,Bank Transfer,Reconciled,2023-07-04,2,Revenue Manager,No,July,1
REV-000076,FY2023/2024,2024-03-09,RG-01,CC-004,Inspection Fees,Government Agency,RCP-367711,549000,475000,-74000,Bank Transfer,Reconciled,2024-03-23,14,Revenue Manager,Yes,March,9
REV-000077,FY2023/2024,2023-08-01,RG-02,CC-028,Facility Hire,Private Company,RCP-763697,799000,690000,-109000,MPESA,Reconciled,2023-08-13,12,Revenue Manager,Yes,August,2
REV-000078,FY2023/2024,2024-05-26,RG-01,CC-013,Publication Sales,Private Company,RCP-181083,174000,169000,-5000,Cheque,Unreconciled,2024-05-28,2,Revenue Manager,No,May,11
REV-000079,FY2023/2024,2024-03-16,RG-04,CC-026,Publication Sales,Government Agency,RCP-485455,757000,506000,-251000,Cash,Unreconciled,2024-03-16,0,Revenue Manager,No,March,9
REV-000080,FY2023/2024,2024-05-06,RG-04,CC-026,Publication Sales,International Organisation,RCP-260440,767000,584000,-183000,MPESA,Reconciled,2024-05-09,3,Revenue Manager,No,May,11
REV-000081,FY2023/2024,2023-10-27,RG-06,CC-019,Consultancy Income,Private Company,RCP-611853,196000,163000,-33000,Bank Transfer,Reconciled,2023-11-09,13,Revenue Manager,Yes,October,4
REV-000082,FY2023/2024,2024-05-06,RG-01,CC-002,Training Fees,Government Agency,RCP-677236,226000,230000,4000,Online Portal,Reconciled,2024-05-06,0,Revenue Manager,No,May,11
REV-000083,FY2023/2024,2024-03-30,RG-06,CC-019,Publication Sales,Private Company,RCP-877934,429000,314000,-115000,Cheque,Reconciled,2024-03-31,1,Revenue Manager,No,March,9
REV-000084,FY2023/2024,2023-10-20,RG-02,CC-022,Certification Fees,Private Company,RCP-715025,537000,369000,-168000,Online Portal,Reconciled,2023-10-24,4,Revenue Manager,No,October,4
REV-000085,FY2023/2024,2023-10-13,RG-02,CC-029,Facility Hire,Individual,RCP-429190,169000,181000,12000,Cash,Reconciled,2023-10-17,4,Revenue Manager,No,October,4
REV-000086,FY2023/2024,2024-04-30,RG-01,CC-001,Facility Hire,Individual,RCP-239529,169000,133000,-36000,Online Portal,Reconciled,2024-05-07,7,Revenue Manager,Yes,April,10
REV-000087,FY2023/2024,2023-11-12,RG-03,CC-016,Publication Sales,NGO,RCP-208943,165000,161000,-4000,Cash,Reconciled,2023-11-21,9,Revenue Manager,Yes,November,5
REV-000088,FY2023/2024,2024-04-04,RG-06,CC-019,Service Fees,Private Company,RCP-271958,640000,550000,-90000,Online Portal,Reconciled,2024-04-07,3,Revenue Manager,No,April,10
REV-000089,FY2023/2024,2023-11-10,RG-01,CC-002,Consultancy Income,Government Agency,RCP-735804,370000,430000,60000,Cash,Reconciled,2023-11-20,10,Revenue Manager,Yes,November,5
REV-000090,FY2023/2024,2023-11-14,RG-01,CC-007,Certification Fees,International Organisation,RCP-483996,281000,267000,-14000,Bank Transfer,Pending,2023-11-22,8,Revenue Manager,Yes,November,5
REV-000091,FY2023/2024,2024-06-06,RG-01,CC-013,Training Fees,Government Agency,RCP-918984,290000,252000,-38000,Online Portal,Reconciled,2024-06-19,13,Revenue Manager,Yes,June,12
REV-000092,FY2023/2024,2023-10-22,RG-01,CC-031,Certification Fees,Individual,RCP-253227,599000,412000,-187000,Online Portal,Reconciled,2023-10-24,2,Revenue Manager,No,October,4
REV-000093,FY2023/2024,2023-08-03,RG-05,CC-018,Training Fees,Government Agency,RCP-470750,522000,382000,-140000,Bank Transfer,Reconciled,2023-08-13,10,Revenue Manager,Yes,August,2
REV-000094,FY2023/2024,2023-11-13,RG-03,CC-027,Consultancy Income,Individual,RCP-847556,668000,561000,-107000,Bank Transfer,Pending,2023-11-27,14,Revenue Manager,Yes,November,5
REV-000095,FY2023/2024,2023-12-26,RG-07,CC-030,Consultancy Income,International Organisation,RCP-518268,632000,613000,-19000,Cash,Reconciled,2024-01-01,6,Revenue Manager,Yes,December,6
REV-000096,FY2023/2024,2023-12-26,RG-04,CC-026,Certification Fees,International Organisation,RCP-471409,150000,117000,-33000,Bank Transfer,Reconciled,2023-12-31,5,Revenue Manager,No,December,6
REV-000097,FY2023/2024,2024-06-09,RG-06,CC-019,Licensing Fees,Government Agency,RCP-933010,566000,513000,-53000,Bank Transfer,Unreconciled,2024-06-20,11,Revenue Manager,Yes,June,12
REV-000098,FY2023/2024,2023-12-26,RG-08,CC-021,Training Fees,Individual,RCP-813724,233000,222000,-11000,Online Portal,Reconciled,2023-12-26,0,Revenue Manager,No,December,6
REV-000099,FY2023/2024,2024-05-17,RG-04,CC-026,Training Fees,NGO,RCP-511218,680000,734000,54000,Cheque,Pending,2024-05-28,11,Revenue Manager,Yes,May,11
REV-000100,FY2023/2024,2024-03-15,RG-05,CC-024,Facility Hire,International Organisation,RCP-453821,481000,473000,-8000,Cheque,Reconciled,2024-03-23,8,Revenue Manager,Yes,March,9
REV-000101,FY2023/2024,2024-02-22,RG-02,CC-029,Facility Hire,International Organisation,RCP-269130,283000,220000,-63000,MPESA,Reconciled,2024-03-05,12,Revenue Manager,Yes,February,8
REV-000102,FY2023/2024,2023-11-05,RG-01,CC-008,Training Fees,NGO,RCP-299655,242000,180000,-62000,MPESA,Reconciled,2023-11-13,8,Revenue Manager,Yes,November,5
REV-000103,FY2023/2024,2024-04-28,RG-01,CC-023,Certification Fees,NGO,RCP-743437,357000,348000,-9000,Cash,Reconciled,2024-05-07,9,Revenue Manager,Yes,April,10
REV-000104,FY2023/2024,2024-04-07,RG-05,CC-018,Training Fees,Government Agency,RCP-427483,229000,193000,-36000,Bank Transfer,Reconciled,2024-04-15,8,Revenue Manager,Yes,April,10
REV-000105,FY2023/2024,2024-06-18,RG-06,CC-019,Consultancy Income,Individual,RCP-575005,616000,639000,23000,Cash,Reconciled,2024-06-23,5,Revenue Manager,No,June,12
REV-000106,FY2023/2024,2023-10-01,RG-01,CC-023,Consultancy Income,Private Company,RCP-649791,209000,153000,-56000,Bank Transfer,Reconciled,2023-10-11,10,Revenue Manager,Yes,October,4
REV-000107,FY2023/2024,2024-01-25,RG-02,CC-028,Service Fees,Government Agency,RCP-827343,669000,433000,-236000,Bank Transfer,Reconciled,2024-01-26,1,Revenue Manager,No,January,7
REV-000108,FY2023/2024,2023-09-28,RG-04,CC-026,Facility Hire,Private Company,RCP-326319,668000,568000,-100000,Bank Transfer,Reconciled,2023-10-11,13,Revenue Manager,Yes,September,3
REV-000109,FY2023/2024,2024-06-30,RG-05,CC-018,Service Fees,International Organisation,RCP-817731,526000,441000,-85000,Cheque,Reconciled,2024-07-01,1,Revenue Manager,No,June,12
REV-000110,FY2023/2024,2023-10-04,RG-01,CC-011,Consultancy Income,Government Agency,RCP-846199,717000,667000,-50000,Cheque,Unreconciled,2023-10-13,9,Revenue Manager,Yes,October,4
REV-000111,FY2023/2024,2024-02-02,RG-06,CC-019,Facility Hire,Government Agency,RCP-794733,326000,312000,-14000,Cash,Reconciled,2024-02-13,11,Revenue Manager,Yes,February,8
REV-000112,FY2023/2024,2024-02-12,RG-03,CC-016,Publication Sales,Individual,RCP-965658,533000,466000,-67000,Bank Transfer,Reconciled,2024-02-19,7,Revenue Manager,Yes,February,8
REV-000113,FY2023/2024,2023-11-04,RG-02,CC-015,Facility Hire,NGO,RCP-707351,282000,249000,-33000,Cheque,Reconciled,2023-11-05,1,Revenue Manager,No,November,5
REV-000114,FY2023/2024,2023-11-19,RG-01,CC-002,Publication Sales,Government Agency,RCP-336339,239000,260000,21000,Cheque,Reconciled,2023-11-24,5,Revenue Manager,No,November,5
REV-000115,FY2023/2024,2024-05-31,RG-01,CC-003,Facility Hire,Government Agency,RCP-877949,269000,279000,10000,Cash,Pending,2024-05-31,0,Revenue Manager,No,May,11
REV-000116,FY2023/2024,2024-05-01,RG-07,CC-030,Facility Hire,Individual,RCP-844452,390000,365000,-25000,MPESA,Reconciled,2024-05-07,6,Revenue Manager,Yes,May,11
REV-000117,FY2023/2024,2023-10-05,RG-01,CC-010,Facility Hire,NGO,RCP-860580,396000,409000,13000,Cash,Reconciled,2023-10-08,3,Revenue Manager,No,October,4
REV-000118,FY2023/2024,2024-05-03,RG-03,CC-027,Facility Hire,Individual,RCP-959434,692000,640000,-52000,Cash,Reconciled,2024-05-10,7,Revenue Manager,Yes,May,11
REV-000119,FY2023/2024,2023-07-13,RG-01,CC-007,Facility Hire,NGO,RCP-542622,654000,853000,199000,MPESA,Reconciled,2023-07-13,0,Revenue Manager,No,July,1
REV-000120,FY2023/2024,2023-09-16,RG-06,CC-019,Publication Sales,International Organisation,RCP-852689,667000,671000,4000,Bank Transfer,Reconciled,2023-09-16,0,Revenue Manager,No,September,3
REV-000121,FY2023/2024,2024-04-04,RG-01,CC-008,Inspection Fees,International Organisation,RCP-673495,279000,235000,-44000,Online Portal,Reconciled,2024-04-11,7,Revenue Manager,Yes,April,10
REV-000122,FY2023/2024,2024-06-28,RG-02,CC-028,Inspection Fees,Individual,RCP-132848,550000,444000,-106000,MPESA,Reconciled,2024-07-08,10,Revenue Manager,Yes,June,12
REV-000123,FY2023/2024,2024-06-21,RG-01,CC-014,Training Fees,Government Agency,RCP-778997,138000,143000,5000,Bank Transfer,Unreconciled,2024-06-30,9,Revenue Manager,Yes,June,12
REV-000124,FY2023/2024,2023-09-14,RG-04,CC-025,Publication Sales,International Organisation,RCP-422738,696000,652000,-44000,Bank Transfer,Reconciled,2023-09-28,14,Revenue Manager,Yes,September,3
REV-000125,FY2023/2024,2024-04-04,RG-01,CC-012,Publication Sales,Government Agency,RCP-770355,261000,209000,-52000,MPESA,Reconciled,2024-04-12,8,Revenue Manager,Yes,April,10
REV-000126,FY2023/2024,2024-06-02,RG-03,CC-027,Certification Fees,International Organisation,RCP-250187,472000,368000,-104000,Cheque,Unreconciled,2024-06-04,2,Revenue Manager,No,June,12
REV-000127,FY2023/2024,2023-10-17,RG-03,CC-027,Consultancy Income,Individual,RCP-399470,612000,574000,-38000,Online Portal,Reconciled,2023-10-20,3,Revenue Manager,No,October,4
REV-000128,FY2023/2024,2023-08-10,RG-01,CC-007,Publication Sales,Private Company,RCP-283663,196000,110000,-86000,MPESA,Reconciled,2023-08-24,14,Revenue Manager,Yes,August,2
REV-000129,FY2023/2024,2024-01-22,RG-07,CC-020,Certification Fees,Government Agency,RCP-269179,305000,258000,-47000,Online Portal,Reconciled,2024-02-04,13,Revenue Manager,Yes,January,7
REV-000130,FY2023/2024,2023-11-05,RG-01,CC-031,Consultancy Income,NGO,RCP-772269,193000,175000,-18000,Online Portal,Reconciled,2023-11-15,10,Revenue Manager,Yes,November,5
REV-000131,FY2023/2024,2023-07-04,RG-03,CC-027,Certification Fees,Government Agency,RCP-710850,590000,431000,-159000,Bank Transfer,Reconciled,2023-07-16,12,Revenue Manager,Yes,July,1
REV-000132,FY2023/2024,2023-08-18,RG-01,CC-005,Facility Hire,International Organisation,RCP-708640,769000,841000,72000,Online Portal,Reconciled,2023-08-29,11,Revenue Manager,Yes,August,2
REV-000133,FY2023/2024,2023-12-03,RG-04,CC-017,Service Fees,Private Company,RCP-386705,442000,419000,-23000,Cheque,Reconciled,2023-12-07,4,Revenue Manager,No,December,6
REV-000134,FY2023/2024,2024-03-22,RG-07,CC-020,Service Fees,International Organisation,RCP-241333,462000,306000,-156000,Bank Transfer,Pending,2024-04-04,13,Revenue Manager,Yes,March,9
REV-000135,FY2023/2024,2023-09-12,RG-08,CC-021,Training Fees,Private Company,RCP-328487,215000,214000,-1000,Online Portal,Unreconciled,2023-09-21,9,Revenue Manager,Yes,September,3
REV-000136,FY2023/2024,2024-04-24,RG-01,CC-014,Publication Sales,NGO,RCP-270485,603000,628000,25000,Online Portal,Reconciled,2024-05-05,11,Revenue Manager,Yes,April,10
REV-000137,FY2023/2024,2023-11-19,RG-01,CC-011,Certification Fees,Private Company,RCP-853485,314000,343000,29000,Bank Transfer,Reconciled,2023-11-23,4,Revenue Manager,No,November,5
REV-000138,FY2023/2024,2024-01-18,RG-01,CC-023,Inspection Fees,Private Company,RCP-640356,656000,543000,-113000,Cheque,Reconciled,2024-01-26,8,Revenue Manager,Yes,January,7
REV-000139,FY2023/2024,2023-11-09,RG-01,CC-003,Licensing Fees,Individual,RCP-562617,715000,716000,1000,Cheque,Reconciled,2023-11-11,2,Revenue Manager,No,November,5
REV-000140,FY2023/2024,2023-07-05,RG-04,CC-017,Inspection Fees,International Organisation,RCP-108315,725000,874000,149000,Cheque,Reconciled,2023-07-06,1,Revenue Manager,No,July,1
REV-000141,FY2023/2024,2024-03-18,RG-01,CC-006,Training Fees,International Organisation,RCP-134658,480000,561000,81000,Bank Transfer,Reconciled,2024-03-24,6,Revenue Manager,Yes,March,9
REV-000142,FY2023/2024,2023-08-05,RG-01,CC-012,Inspection Fees,NGO,RCP-312409,394000,279000,-115000,Cash,Unreconciled,2023-08-13,8,Revenue Manager,Yes,August,2
REV-000143,FY2023/2024,2024-05-08,RG-02,CC-029,Inspection Fees,Government Agency,RCP-172186,454000,506000,52000,Online Portal,Unreconciled,2024-05-15,7,Revenue Manager,Yes,May,11
