AllocationID,FinancialYear,Month,FYMonthNumber,CalendarYear,BudgetVersion,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,FundSourceCode,DonorCode,ActivityCode,SubActivityCode,VoteCode,MonthlyAllocationAmount,CumulativeAllocationAmount,AllocationDate,AllocationReference,SourceDocument,CreatedByRole,CreatedDate,LastUpdatedDate
MA-000019,FY2023/2024,January,7,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3508508,24559557,2024-01-01,MA-508396,BD-205907,Head of Budget,2023-12-27,2024-01-01
MA-000020,FY2023/2024,February,8,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,3859359,28418916,2024-02-01,MA-829308,BD-205907,Head of Budget,2024-01-31,2024-02-01
MA-000021,FY2023/2024,March,9,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,4210210,32629126,2024-03-01,MA-998348,BD-205907,Head of Budget,2024-02-25,2024-03-01
MA-000022,FY2023/2024,April,10,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,4561061,37190187,2024-04-01,MA-498858,BD-205907,Head of Budget,2024-03-28,2024-04-01
MA-000023,FY2023/2024,May,11,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,5262762,42452949,2024-05-01,MA-106182,BD-205907,Head of Budget,2024-04-28,2024-05-01
MA-000024,FY2023/2024,June,12,2024,Original,PRG-02,DIR-02,CC-002,RG-01,FS-03,DON-00,ACT-004,ACT-004-S03,V-5110,7017016,49469965,2024-06-01,MA-413118,BD-205907,Head of Budget,2024-05-28,2024-06-01
MA-000025,FY2023/2024,July,1,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1754254,1754254,2023-07-01,MA-994905,BD-270555,Head of Budget,2023-06-27,2023-07-01
MA-000026,FY2023/2024,August,2,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1403403,3157657,2023-08-01,MA-664365,BD-270555,Head of Budget,2023-07-27,2023-08-01
MA-000027,FY2023/2024,September,3,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,2105105,5262762,2023-09-01,MA-938722,BD-270555,Head of Budget,2023-08-27,2023-09-01
MA-000028,FY2023/2024,October,4,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1754254,7017016,2023-10-01,MA-331251,BD-270555,Head of Budget,2023-09-27,2023-10-01
MA-000029,FY2023/2024,November,5,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1929679,8946695,2023-11-01,MA-330080,BD-270555,Head of Budget,2023-10-29,2023-11-01
MA-000030,FY2023/2024,December,6,2023,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1578829,10525524,2023-12-01,MA-557007,BD-270555,Head of Budget,2023-11-27,2023-12-01
MA-000031,FY2023/2024,January,7,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1754254,12279778,2024-01-01,MA-130434,BD-270555,Head of Budget,2023-12-28,2024-01-01
MA-000032,FY2023/2024,February,8,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,1929679,14209457,2024-02-01,MA-452457,BD-270555,Head of Budget,2024-01-28,2024-02-01
MA-000033,FY2023/2024,March,9,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,2105105,16314562,2024-03-01,MA-859359,BD-270555,Head of Budget,2024-02-28,2024-03-01
MA-000034,FY2023/2024,April,10,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,2280530,18595092,2024-04-01,MA-981334,BD-270555,Head of Budget,2024-03-28,2024-04-01
MA-000035,FY2023/2024,May,11,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,2631381,21226473,2024-05-01,MA-233827,BD-270555,Head of Budget,2024-04-26,2024-05-01
MA-000036,FY2023/2024,June,12,2024,Original,PRG-03,DIR-03,CC-003,RG-01,FS-01,DON-00,ACT-007,ACT-007-S03,V-2340,3508509,24734982,2024-06-01,MA-660069,BD-270555,Head of Budget,2024-05-31,2024-06-01
MA-000037,FY2023/2024,July,1,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3508508,3508508,2023-07-01,MA-513160,BD-835911,Head of Budget,2023-06-26,2023-07-01
MA-000038,FY2023/2024,August,2,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,2806807,6315315,2023-08-01,MA-691807,BD-835911,Head of Budget,2023-07-31,2023-08-01
MA-000039,FY2023/2024,September,3,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,4210210,10525525,2023-09-01,MA-188025,BD-835911,Head of Budget,2023-08-28,2023-09-01
MA-000040,FY2023/2024,October,4,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3508508,14034033,2023-10-01,MA-242291,BD-835911,Head of Budget,2023-09-27,2023-10-01
MA-000041,FY2023/2024,November,5,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3859359,17893392,2023-11-01,MA-290556,BD-835911,Head of Budget,2023-10-31,2023-11-01
MA-000042,FY2023/2024,December,6,2023,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3157657,21051049,2023-12-01,MA-372793,BD-835911,Head of Budget,2023-11-27,2023-12-01
MA-000043,FY2023/2024,January,7,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3508508,24559557,2024-01-01,MA-443254,BD-835911,Head of Budget,2023-12-30,2024-01-01
MA-000044,FY2023/2024,February,8,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,3859359,28418916,2024-02-01,MA-576786,BD-835911,Head of Budget,2024-01-29,2024-02-01
MA-000045,FY2023/2024,March,9,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,4210210,32629126,2024-03-01,MA-453894,BD-835911,Head of Budget,2024-02-26,2024-03-01
MA-000046,FY2023/2024,April,10,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,4561061,37190187,2024-04-01,MA-391773,BD-835911,Head of Budget,2024-03-28,2024-04-01
MA-000047,FY2023/2024,May,11,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,5262762,42452949,2024-05-01,MA-364525,BD-835911,Head of Budget,2024-04-30,2024-05-01
MA-000048,FY2023/2024,June,12,2024,Original,PRG-04,DIR-04,CC-004,RG-01,FS-01,DON-00,ACT-010,ACT-010-S03,V-2250,7017016,49469965,2024-06-01,MA-593152,BD-835911,Head of Budget,2024-05-31,2024-06-01
MA-000049,FY2023/2024,July,1,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1754254,1754254,2023-07-01,MA-885408,BD-271339,Head of Budget,2023-06-26,2023-07-01
MA-000050,FY2023/2024,August,2,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1403403,3157657,2023-08-01,MA-154615,BD-271339,Head of Budget,2023-07-29,2023-08-01
MA-000051,FY2023/2024,September,3,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,2105105,5262762,2023-09-01,MA-335113,BD-271339,Head of Budget,2023-08-31,2023-09-01
MA-000052,FY2023/2024,October,4,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1754254,7017016,2023-10-01,MA-919182,BD-271339,Head of Budget,2023-09-30,2023-10-01
MA-000053,FY2023/2024,November,5,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1929679,8946695,2023-11-01,MA-890870,BD-271339,Head of Budget,2023-10-31,2023-11-01
MA-000054,FY2023/2024,December,6,2023,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1578829,10525524,2023-12-01,MA-359295,BD-271339,Head of Budget,2023-11-29,2023-12-01
MA-000055,FY2023/2024,January,7,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1754254,12279778,2024-01-01,MA-979995,BD-271339,Head of Budget,2023-12-31,2024-01-01
MA-000056,FY2023/2024,February,8,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,1929679,14209457,2024-02-01,MA-751517,BD-271339,Head of Budget,2024-01-30,2024-02-01
MA-000057,FY2023/2024,March,9,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,2105105,16314562,2024-03-01,MA-350132,BD-271339,Head of Budget,2024-02-28,2024-03-01
MA-000058,FY2023/2024,April,10,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,2280530,18595092,2024-04-01,MA-596564,BD-271339,Head of Budget,2024-03-31,2024-04-01
MA-000059,FY2023/2024,May,11,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,2631381,21226473,2024-05-01,MA-691364,BD-271339,Head of Budget,2024-04-29,2024-05-01
MA-000060,FY2023/2024,June,12,2024,Original,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2240,3508509,24734982,2024-06-01,MA-587623,BD-271339,Head of Budget,2024-05-29,2024-06-01
MA-000061,FY2023/2024,July,1,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1754254,1754254,2023-07-01,MA-904150,BD-821590,Head of Budget,2023-06-28,2023-07-01
MA-000062,FY2023/2024,August,2,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1403403,3157657,2023-08-01,MA-275939,BD-821590,Head of Budget,2023-07-27,2023-08-01
MA-000063,FY2023/2024,September,3,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,2105105,5262762,2023-09-01,MA-736745,BD-821590,Head of Budget,2023-08-31,2023-09-01
MA-000064,FY2023/2024,October,4,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1754254,7017016,2023-10-01,MA-915573,BD-821590,Head of Budget,2023-09-29,2023-10-01
MA-000065,FY2023/2024,November,5,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1929679,8946695,2023-11-01,MA-426147,BD-821590,Head of Budget,2023-10-31,2023-11-01
MA-000066,FY2023/2024,December,6,2023,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1578829,10525524,2023-12-01,MA-706794,BD-821590,Head of Budget,2023-11-30,2023-12-01
MA-000067,FY2023/2024,January,7,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1754254,12279778,2024-01-01,MA-427110,BD-821590,Head of Budget,2023-12-27,2024-01-01
MA-000068,FY2023/2024,February,8,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,1929679,14209457,2024-02-01,MA-810250,BD-821590,Head of Budget,2024-01-28,2024-02-01
MA-000069,FY2023/2024,March,9,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,2105105,16314562,2024-03-01,MA-515922,BD-821590,Head of Budget,2024-02-28,2024-03-01
MA-000070,FY2023/2024,April,10,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,2280530,18595092,2024-04-01,MA-179688,BD-821590,Head of Budget,2024-03-27,2024-04-01
MA-000071,FY2023/2024,May,11,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,2631381,21226473,2024-05-01,MA-824161,BD-821590,Head of Budget,2024-04-29,2024-05-01
MA-000072,FY2023/2024,June,12,2024,Original,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-015,ACT-015-S02,V-2460,3508509,24734982,2024-06-01,MA-206851,BD-821590,Head of Budget,2024-05-29,2024-06-01
MA-000073,FY2023/2024,July,1,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1754254,1754254,2023-07-01,MA-991597,BD-340174,Head of Budget,2023-06-26,2023-07-01
MA-000074,FY2023/2024,August,2,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1403403,3157657,2023-08-01,MA-944657,BD-340174,Head of Budget,2023-07-31,2023-08-01
MA-000075,FY2023/2024,September,3,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,2105105,5262762,2023-09-01,MA-934904,BD-340174,Head of Budget,2023-08-27,2023-09-01
MA-000076,FY2023/2024,October,4,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1754254,7017016,2023-10-01,MA-920652,BD-340174,Head of Budget,2023-09-30,2023-10-01
MA-000077,FY2023/2024,November,5,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1929679,8946695,2023-11-01,MA-464069,BD-340174,Head of Budget,2023-10-27,2023-11-01
MA-000078,FY2023/2024,December,6,2023,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1578829,10525524,2023-12-01,MA-549186,BD-340174,Head of Budget,2023-11-28,2023-12-01
MA-000079,FY2023/2024,January,7,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1754254,12279778,2024-01-01,MA-172306,BD-340174,Head of Budget,2023-12-27,2024-01-01
MA-000080,FY2023/2024,February,8,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,1929679,14209457,2024-02-01,MA-778998,BD-340174,Head of Budget,2024-01-29,2024-02-01
MA-000081,FY2023/2024,March,9,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,2105105,16314562,2024-03-01,MA-113266,BD-340174,Head of Budget,2024-02-26,2024-03-01
MA-000082,FY2023/2024,April,10,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,2280530,18595092,2024-04-01,MA-962276,BD-340174,Head of Budget,2024-03-28,2024-04-01
MA-000083,FY2023/2024,May,11,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,2631381,21226473,2024-05-01,MA-210665,BD-340174,Head of Budget,2024-04-27,2024-05-01
MA-000084,FY2023/2024,June,12,2024,Original,PRG-07,DIR-07,CC-007,RG-01,FS-01,DON-00,ACT-017,ACT-017-S03,V-2120,3508509,24734982,2024-06-01,MA-479781,BD-340174,Head of Budget,2024-05-28,2024-06-01
MA-000085,FY2023/2024,July,1,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1754254,1754254,2023-07-01,MA-841666,BD-321231,Head of Budget,2023-06-29,2023-07-01
MA-000086,FY2023/2024,August,2,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1403403,3157657,2023-08-01,MA-556641,BD-321231,Head of Budget,2023-07-30,2023-08-01
MA-000087,FY2023/2024,September,3,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,2105105,5262762,2023-09-01,MA-869440,BD-321231,Head of Budget,2023-08-27,2023-09-01
MA-000088,FY2023/2024,October,4,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1754254,7017016,2023-10-01,MA-782054,BD-321231,Head of Budget,2023-09-28,2023-10-01
MA-000089,FY2023/2024,November,5,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1929679,8946695,2023-11-01,MA-745830,BD-321231,Head of Budget,2023-10-27,2023-11-01
MA-000090,FY2023/2024,December,6,2023,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1578829,10525524,2023-12-01,MA-912270,BD-321231,Head of Budget,2023-11-27,2023-12-01
MA-000091,FY2023/2024,January,7,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1754254,12279778,2024-01-01,MA-587455,BD-321231,Head of Budget,2023-12-28,2024-01-01
MA-000092,FY2023/2024,February,8,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,1929679,14209457,2024-02-01,MA-965845,BD-321231,Head of Budget,2024-01-27,2024-02-01
MA-000093,FY2023/2024,March,9,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,2105105,16314562,2024-03-01,MA-381433,BD-321231,Head of Budget,2024-02-27,2024-03-01
MA-000094,FY2023/2024,April,10,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,2280530,18595092,2024-04-01,MA-993085,BD-321231,Head of Budget,2024-03-30,2024-04-01
MA-000095,FY2023/2024,May,11,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,2631381,21226473,2024-05-01,MA-971084,BD-321231,Head of Budget,2024-04-30,2024-05-01
MA-000096,FY2023/2024,June,12,2024,Original,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-019,ACT-019-S02,V-2210,3508509,24734982,2024-06-01,MA-392477,BD-321231,Head of Budget,2024-05-28,2024-06-01
MA-000097,FY2023/2024,July,1,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1754254,1754254,2023-07-01,MA-355709,BD-774079,Head of Budget,2023-06-27,2023-07-01
MA-000098,FY2023/2024,August,2,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1403403,3157657,2023-08-01,MA-697530,BD-774079,Head of Budget,2023-07-27,2023-08-01
MA-000099,FY2023/2024,September,3,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,2105105,5262762,2023-09-01,MA-800646,BD-774079,Head of Budget,2023-08-28,2023-09-01
MA-000100,FY2023/2024,October,4,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1754254,7017016,2023-10-01,MA-452737,BD-774079,Head of Budget,2023-09-30,2023-10-01
MA-000101,FY2023/2024,November,5,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1929679,8946695,2023-11-01,MA-618317,BD-774079,Head of Budget,2023-10-29,2023-11-01
MA-000102,FY2023/2024,December,6,2023,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1578829,10525524,2023-12-01,MA-290672,BD-774079,Head of Budget,2023-11-27,2023-12-01
MA-000103,FY2023/2024,January,7,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1754254,12279778,2024-01-01,MA-322423,BD-774079,Head of Budget,2023-12-29,2024-01-01
MA-000104,FY2023/2024,February,8,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,1929679,14209457,2024-02-01,MA-936587,BD-774079,Head of Budget,2024-01-29,2024-02-01
MA-000105,FY2023/2024,March,9,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,2105105,16314562,2024-03-01,MA-456871,BD-774079,Head of Budget,2024-02-27,2024-03-01
MA-000106,FY2023/2024,April,10,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,2280530,18595092,2024-04-01,MA-725113,BD-774079,Head of Budget,2024-03-29,2024-04-01
MA-000107,FY2023/2024,May,11,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,2631381,21226473,2024-05-01,MA-682789,BD-774079,Head of Budget,2024-04-30,2024-05-01
MA-000108,FY2023/2024,June,12,2024,Original,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S01,V-2360,3508509,24734982,2024-06-01,MA-641722,BD-774079,Head of Budget,2024-05-30,2024-06-01
MA-000109,FY2023/2024,July,1,2023,Original,PRG-10,DIR-10,CC-010,RG-01,FS-01,DON-00,ACT-024,ACT-024-S01,V-2240,1754254,1754254,2023-07-01,MA-189771,BD-881177,Head of Budget,2023-06-29,2023-07-01
MA-000110,FY2023/2024,August,2,2023,Original,PRG-10,DIR-10,CC-010,RG-01,FS-01,DON-00,ACT-024,ACT-024-S01,V-2240,1403403,3157657,2023-08-01,MA-855053,BD-881177,Head of Budget,2023-07-28,2023-08-01
