TransactionID,FinancialYear,TransactionDate,PostingDate,DocumentNumber,InvoiceNumber,SupplierID,SupplierCategory,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,FundSourceCode,DonorCode,ActivityCode,SubActivityCode,VoteCode,ProcurementCategory,Description,GrossAmount,TaxAmount,NetAmount,CommitmentReference,PurchaseOrderReference,PaymentVoucherReference,PaymentStatus,PaymentDate,AccountingPeriod,EnteredByRole,ApprovedByRole,SourceSystem,DataQualityFlag
TXN-0000011,FY2023/2024,2024-01-04,2024-01-09,DOC-610622,INV-184643,SUP-1104,Professional Services,PRG-11,DIR-11,CC-011,RG-01,FS-01,DON-00,ACT-026,ACT-026-S03,V-2330,Cleaning Services,Cleaning Services - Equipment Maintenance and Repair,362000,0,362000,CMT-193471,,PV-722571,Paid,2024-01-24,FY2023/2024-M07,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000012,FY2023/2024,2023-11-14,2023-11-15,DOC-139448,INV-725236,SUP-3949,Consultancy,PRG-12,DIR-12,CC-027,RG-03,FS-01,DON-00,ACT-040,ACT-040-S02,V-2250,Equipment,Equipment - Environmental and Social Safeguards,203000,0,203000,CMT-192296,PO-920597,PV-415830,Pending Payment,,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000013,FY2023/2024,2023-12-12,2023-12-16,DOC-791354,INV-318217,SUP-5528,Professional Services,PRG-12,DIR-12,CC-027,RG-03,FS-01,DON-00,ACT-027,ACT-027-S01,V-2360,Printing and Stationery,Printing and Stationery - Infrastructure Construction,528000,84500,443500,CMT-935309,PO-984769,PV-597457,Paid,2024-01-19,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000014,FY2023/2024,2024-02-11,2024-02-15,DOC-145421,INV-209493,SUP-1859,Printing and Stationery,PRG-12,DIR-12,CC-012,RG-01,FS-02,DON-00,ACT-027,ACT-027-S01,V-2211,Training,Training - Infrastructure Construction,164000,0,164000,CMT-923648,PO-639915,PV-221703,Pending Payment,,FY2023/2024-M08,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000015,FY2023/2024,2023-08-25,2023-08-25,DOC-532637,INV-309668,SUP-7152,Maintenance,PRG-13,DIR-13,CC-016,RG-03,FS-01,DON-00,ACT-030,ACT-030-S02,V-2440,Equipment,Equipment - Community Outreach,434000,0,434000,CMT-713513,PO-557037,PV-251981,Paid,2023-09-05,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000016,FY2023/2024,2023-10-09,2023-10-10,DOC-162549,INV-394234,SUP-3236,ICT Services,PRG-11,DIR-11,CC-030,RG-07,FS-01,DON-00,ACT-025,ACT-025-S02,V-2410,Consultancy,Consultancy - Technical Service Delivery,141000,0,141000,,PO-279517,PV-897273,Paid,2023-10-17,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000017,FY2023/2024,2023-12-14,2023-12-18,DOC-977646,INV-585242,SUP-5573,Professional Services,PRG-13,DIR-13,CC-015,RG-02,FS-02,DON-00,ACT-030,ACT-030-S01,V-2330,Printing and Stationery,Printing and Stationery - Community Outreach,466000,0,466000,,,PV-358635,Paid,2024-01-05,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000018,FY2023/2024,2023-10-16,2023-10-21,DOC-513474,INV-602550,SUP-2605,Security Services,PRG-13,DIR-13,CC-021,RG-08,FS-04,DON-01,ACT-030,ACT-030-S01,V-2310,Utilities,Utilities - Community Outreach,589000,0,589000,CMT-187127,PO-113026,PV-826830,Paid,2023-10-28,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000019,FY2023/2024,2024-06-16,2024-06-21,DOC-883586,INV-712011,SUP-1399,Security Services,PRG-12,DIR-12,CC-027,RG-03,FS-01,DON-00,ACT-027,ACT-027-S01,V-3140,Equipment,Equipment - Infrastructure Construction,1199000,0,1199000,CMT-245357,,PV-525051,Paid,2024-07-25,FY2023/2024-M12,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000020,FY2023/2024,2023-09-11,2023-09-15,DOC-831963,INV-742254,SUP-9887,Construction,PRG-12,DIR-12,CC-024,RG-05,FS-03,DON-00,ACT-040,ACT-040-S02,V-2110,ICT Services,ICT Services - Environmental and Social Safeguards,299000,47800,251200,,,PV-184891,Paid,2023-10-17,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000021,FY2023/2024,2024-04-12,2024-04-15,DOC-779658,INV-685934,SUP-2097,Printing and Stationery,PRG-12,DIR-12,CC-022,RG-02,FS-04,DON-03,ACT-040,ACT-040-S01,V-5110,Cleaning Services,Cleaning Services - Environmental and Social Safeguards,77000,0,77000,,PO-451199,PV-350224,Paid,2024-05-13,FY2023/2024-M10,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000022,FY2023/2024,2024-03-14,2024-03-16,DOC-609845,INV-625808,SUP-9629,ICT Services,PRG-08,DIR-08,CC-008,RG-01,FS-01,DON-00,ACT-020,ACT-020-S02,V-2390,Cleaning Services,Cleaning Services - Risk Assessment and Management,219000,35000,184000,CMT-657742,PO-658739,PV-406461,Paid,2024-04-13,FY2023/2024-M09,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000023,FY2023/2024,2024-02-13,2024-02-14,DOC-389346,INV-217466,SUP-3424,Security Services,PRG-12,DIR-12,CC-024,RG-05,FS-01,DON-00,ACT-040,ACT-040-S03,V-2212,Cleaning Services,Cleaning Services - Environmental and Social Safeguards,320000,0,320000,CMT-314178,PO-757746,PV-123792,Paid,2024-02-23,FY2023/2024-M08,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000024,FY2023/2024,2023-11-01,2023-11-03,DOC-343613,INV-975505,SUP-9513,Equipment,PRG-12,DIR-12,CC-027,RG-03,FS-01,DON-00,ACT-040,ACT-040-S03,V-2250,Utilities,Utilities - Environmental and Social Safeguards,311000,49800,261200,CMT-706815,PO-777433,PV-925045,Paid,2023-11-09,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000025,FY2023/2024,2023-12-26,2023-12-28,DOC-907141,INV-986585,SUP-1775,Fuel and Lubricants,PRG-11,DIR-11,CC-032,RG-01,FS-02,DON-00,ACT-026,ACT-026-S02,V-3110,Cleaning Services,Cleaning Services - Equipment Maintenance and Repair,432000,0,432000,CMT-578073,,PV-748680,Paid,2024-01-25,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Warning
TXN-0000026,FY2023/2024,2023-09-19,2023-09-20,DOC-689810,INV-841484,SUP-1568,Equipment,PRG-13,DIR-13,CC-019,RG-06,FS-01,DON-00,ACT-029,ACT-029-S01,V-2310,ICT Services,ICT Services - Regional Service Coordination,64000,0,64000,CMT-460549,PO-570211,PV-666091,Paid,2023-10-18,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000027,FY2023/2024,2023-09-01,2023-09-06,DOC-839719,INV-409913,SUP-8764,Training,PRG-13,DIR-13,CC-020,RG-07,FS-04,DON-02,ACT-029,ACT-029-S01,V-2430,Security Services,Security Services - Regional Service Coordination,671000,0,671000,,,PV-701596,Paid,2023-10-13,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000028,FY2023/2024,2024-05-18,2024-05-18,DOC-331069,INV-567636,SUP-6855,ICT Services,PRG-10,DIR-10,CC-010,RG-01,FS-02,DON-00,ACT-024,ACT-024-S02,V-2240,Cleaning Services,Cleaning Services - Monitoring and Evaluation,79000,12600,66400,CMT-737692,PO-711772,PV-652005,Paid,2024-06-17,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000029,FY2023/2024,2023-10-17,2023-10-20,DOC-636405,INV-158770,SUP-6915,Utilities,PRG-13,DIR-13,CC-018,RG-05,FS-01,DON-00,ACT-029,ACT-029-S01,V-2220,Security Services,Security Services - Regional Service Coordination,416000,0,416000,CMT-995278,PO-504868,PV-490941,Paid,2023-11-14,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000030,FY2023/2024,2023-07-24,2023-07-27,DOC-944809,INV-863364,SUP-7944,Consultancy,PRG-13,DIR-13,CC-019,RG-06,FS-05,DON-01,ACT-030,ACT-030-S02,V-3110,Maintenance,Maintenance - Community Outreach,445000,0,445000,,PO-715702,PV-726981,Pending Payment,,FY2023/2024-M01,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000031,FY2023/2024,2023-08-25,2023-08-28,DOC-386606,INV-534649,SUP-3865,Printing and Stationery,PRG-10,DIR-10,CC-010,RG-01,FS-05,DON-03,ACT-023,ACT-023-S02,V-4120,ICT Services,ICT Services - Research and Studies,450000,72000,378000,CMT-695503,,PV-243578,Paid,2023-09-28,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000032,FY2023/2024,2023-10-10,2023-10-13,DOC-929653,INV-102565,SUP-3523,Training,PRG-12,DIR-12,CC-012,RG-01,FS-01,DON-00,ACT-028,ACT-028-S02,V-4130,Office Furniture,Office Furniture - Project Management,202000,32300,169700,CMT-771670,,PV-595495,Paid,2023-11-16,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000033,FY2023/2024,2023-08-16,2023-08-16,DOC-693047,INV-557250,SUP-5225,Equipment,PRG-13,DIR-13,CC-019,RG-06,FS-04,DON-02,ACT-030,ACT-030-S01,V-4130,Professional Services,Professional Services - Community Outreach,78000,0,78000,,,PV-958029,Paid,2023-09-13,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000034,FY2023/2024,2023-08-11,2023-08-14,DOC-271241,INV-155457,SUP-5467,Travel and Accommodation,PRG-12,DIR-12,CC-024,RG-05,FS-03,DON-00,ACT-040,ACT-040-S03,V-2120,Fuel and Lubricants,Fuel and Lubricants - Environmental and Social Safeguards,289000,0,289000,CMT-473276,PO-405831,PV-655338,Pending Payment,,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000035,FY2023/2024,2024-05-27,2024-06-01,DOC-821783,INV-480132,SUP-2570,Printing and Stationery,PRG-05,DIR-05,CC-005,RG-01,FS-02,DON-00,ACT-012,ACT-012-S02,V-2230,Fuel and Lubricants,Fuel and Lubricants - Tender Management,510000,0,510000,CMT-963308,PO-243601,PV-643341,Paid,2024-06-23,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000036,FY2023/2024,2023-11-08,2023-11-09,DOC-971803,INV-651186,SUP-9717,Consultancy,PRG-12,DIR-12,CC-024,RG-05,FS-04,DON-02,ACT-028,ACT-028-S02,V-3130,ICT Services,ICT Services - Project Management,170000,27200,142800,CMT-893045,,PV-537619,Paid,2023-12-19,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000037,FY2023/2024,2024-02-27,2024-03-01,DOC-900681,INV-458660,SUP-3821,Consultancy,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S02,V-2120,Training,Training - Procurement Planning,466000,0,466000,CMT-880623,,PV-333159,Pending Payment,,FY2023/2024-M08,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000038,FY2023/2024,2023-09-03,2023-09-03,DOC-213054,INV-134385,SUP-9412,Construction,PRG-10,DIR-10,CC-010,RG-01,FS-01,DON-00,ACT-023,ACT-023-S02,V-2250,ICT Services,ICT Services - Research and Studies,327000,0,327000,CMT-224698,,PV-145383,Paid,2023-10-05,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000039,FY2023/2024,2023-08-22,2023-08-24,DOC-390849,INV-707913,SUP-6698,Travel and Accommodation,PRG-13,DIR-13,CC-020,RG-07,FS-04,DON-02,ACT-029,ACT-029-S01,V-2240,Construction,Construction - Regional Service Coordination,435000,0,435000,CMT-624953,,PV-742731,Paid,2023-09-07,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000040,FY2023/2024,2023-10-29,2023-11-02,DOC-628687,INV-992649,SUP-8777,Travel and Accommodation,PRG-05,DIR-05,CC-005,RG-01,FS-01,DON-00,ACT-011,ACT-011-S01,V-5120,Maintenance,Maintenance - Procurement Planning,580000,0,580000,,PO-806242,PV-212537,Paid,2023-11-13,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000041,FY2023/2024,2023-09-04,2023-09-07,DOC-478798,INV-838963,SUP-5723,Printing and Stationery,PRG-12,DIR-12,CC-023,RG-01,FS-01,DON-00,ACT-028,ACT-028-S02,V-2380,Utilities,Utilities - Project Management,113000,0,113000,,PO-617695,PV-221343,Paid,2023-09-20,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000042,FY2023/2024,2024-01-07,2024-01-07,DOC-812120,INV-485290,SUP-3937,Professional Services,PRG-13,DIR-13,CC-019,RG-06,FS-01,DON-00,ACT-030,ACT-030-S02,V-2460,Utilities,Utilities - Community Outreach,196000,0,196000,,PO-210280,PV-515623,Pending Payment,,FY2023/2024-M07,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000043,FY2023/2024,2024-03-01,2024-03-02,DOC-723861,INV-985029,SUP-7623,ICT Services,PRG-06,DIR-06,CC-006,RG-01,FS-01,DON-00,ACT-014,ACT-014-S01,V-2430,Construction,Construction - ICT Systems Development,646000,103400,542600,CMT-545334,,PV-392047,Paid,2024-03-19,FY2023/2024-M08,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000044,FY2023/2024,2024-06-09,2024-06-10,DOC-613111,INV-621429,SUP-4781,Equipment,PRG-13,DIR-13,CC-018,RG-05,FS-02,DON-00,ACT-030,ACT-030-S02,V-4120,Utilities,Utilities - Community Outreach,1186000,189800,996200,,PO-873637,PV-155419,Paid,2024-06-21,FY2023/2024-M12,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000045,FY2023/2024,2023-08-20,2023-08-20,DOC-931239,INV-588659,SUP-4308,Training,PRG-11,DIR-11,CC-032,RG-01,FS-02,DON-00,ACT-025,ACT-025-S01,V-2420,Travel and Accommodation,Travel and Accommodation - Technical Service Delivery,94000,15000,79000,,PO-374375,PV-668787,Paid,2023-09-27,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000046,FY2023/2024,2023-12-15,2023-12-15,DOC-917241,INV-417765,SUP-3689,Security Services,PRG-02,DIR-02,CC-002,RG-01,FS-01,DON-00,ACT-003,ACT-003-S02,V-2240,Travel and Accommodation,Travel and Accommodation - Financial Accounting and Reporting,465000,0,465000,CMT-427637,,PV-611133,Paid,2024-01-24,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000047,FY2023/2024,2023-08-13,2023-08-17,DOC-129514,INV-719145,SUP-1739,Fuel and Lubricants,PRG-11,DIR-11,CC-032,RG-01,FS-01,DON-00,ACT-026,ACT-026-S02,V-2330,Utilities,Utilities - Equipment Maintenance and Repair,144000,23000,121000,,PO-878103,PV-712333,Paid,2023-09-09,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000048,FY2023/2024,2023-07-22,2023-07-23,DOC-821411,INV-168681,SUP-5995,ICT Services,PRG-12,DIR-12,CC-022,RG-02,FS-01,DON-00,ACT-028,ACT-028-S01,V-2450,Travel and Accommodation,Travel and Accommodation - Project Management,265000,0,265000,CMT-120669,PO-139193,PV-583298,Paid,2023-08-16,FY2023/2024-M01,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000049,FY2023/2024,2024-05-11,2024-05-14,DOC-947591,INV-612081,SUP-2639,Consultancy,PRG-12,DIR-12,CC-028,RG-02,FS-01,DON-00,ACT-040,ACT-040-S03,V-2440,Consultancy,Consultancy - Environmental and Social Safeguards,447000,0,447000,,PO-627191,PV-950874,Paid,2024-06-08,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000050,FY2023/2024,2024-05-27,2024-05-31,DOC-701380,INV-521556,SUP-4700,Construction,PRG-12,DIR-12,CC-022,RG-02,FS-05,DON-02,ACT-027,ACT-027-S02,V-2410,Security Services,Security Services - Infrastructure Construction,588000,0,588000,,PO-985194,PV-706279,Paid,2024-06-21,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000051,FY2023/2024,2023-08-21,2023-08-23,DOC-666176,INV-428574,SUP-4278,Utilities,PRG-12,DIR-12,CC-022,RG-02,FS-01,DON-00,ACT-028,ACT-028-S01,V-5120,Maintenance,Maintenance - Project Management,182000,0,182000,CMT-755322,PO-804181,PV-900527,Paid,2023-09-16,FY2023/2024-M02,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000052,FY2023/2024,2024-03-09,2024-03-14,DOC-554793,INV-693616,SUP-1981,Printing and Stationery,PRG-12,DIR-12,CC-012,RG-01,FS-01,DON-00,ACT-027,ACT-027-S01,V-4130,Office Furniture,Office Furniture - Infrastructure Construction,544000,0,544000,CMT-584952,PO-257782,PV-882692,Paid,2024-04-27,FY2023/2024-M09,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000053,FY2023/2024,2024-05-28,2024-05-31,DOC-368903,INV-820219,SUP-4868,Utilities,PRG-13,DIR-13,CC-020,RG-07,FS-03,DON-00,ACT-030,ACT-030-S02,V-3120,Cleaning Services,Cleaning Services - Community Outreach,100000,0,100000,CMT-257246,PO-357516,PV-935762,Paid,2024-06-23,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000054,FY2023/2024,2023-11-09,2023-11-10,DOC-284533,INV-775591,SUP-1691,Consultancy,PRG-11,DIR-11,CC-030,RG-07,FS-01,DON-00,ACT-026,ACT-026-S03,V-2450,Cleaning Services,Cleaning Services - Equipment Maintenance and Repair,56000,0,56000,CMT-120875,PO-188006,PV-429153,Paid,2023-12-02,FY2023/2024-M05,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000055,FY2023/2024,2024-04-27,2024-04-28,DOC-226502,INV-647312,SUP-9605,Training,PRG-13,DIR-13,CC-020,RG-07,FS-02,DON-00,ACT-029,ACT-029-S02,V-2410,Cleaning Services,Cleaning Services - Regional Service Coordination,106000,17000,89000,CMT-194632,PO-228216,PV-910749,Paid,2024-06-08,FY2023/2024-M10,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000056,FY2023/2024,2023-12-07,2023-12-08,DOC-560823,INV-528212,SUP-5166,Construction,PRG-12,DIR-12,CC-022,RG-02,FS-03,DON-00,ACT-040,ACT-040-S03,V-2420,Consultancy,Consultancy - Environmental and Social Safeguards,148000,0,148000,CMT-659383,PO-218448,PV-431863,Paid,2023-12-26,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Warning
TXN-0000057,FY2023/2024,2024-03-23,2024-03-25,DOC-735242,INV-136500,SUP-1895,Consultancy,PRG-12,DIR-12,CC-028,RG-02,FS-03,DON-00,ACT-028,ACT-028-S01,V-2530,Cleaning Services,Cleaning Services - Project Management,135000,0,135000,,PO-365271,PV-679577,Pending Payment,,FY2023/2024-M09,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000058,FY2023/2024,2024-01-30,2024-02-02,DOC-415504,INV-194634,SUP-4857,Training,PRG-13,DIR-13,CC-020,RG-07,FS-03,DON-00,ACT-030,ACT-030-S01,V-5130,Office Furniture,Office Furniture - Community Outreach,282000,0,282000,CMT-268010,,PV-762021,Pending Payment,,FY2023/2024-M07,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000059,FY2023/2024,2023-12-30,2024-01-01,DOC-832411,INV-373646,SUP-9295,ICT Services,PRG-12,DIR-12,CC-027,RG-03,FS-03,DON-00,ACT-027,ACT-027-S02,V-2220,Security Services,Security Services - Infrastructure Construction,269000,0,269000,CMT-731364,,PV-674334,Paid,2024-01-12,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000060,FY2023/2024,2024-06-05,2024-06-05,DOC-703779,INV-186226,SUP-2815,Fuel and Lubricants,PRG-13,DIR-13,CC-021,RG-08,FS-02,DON-00,ACT-030,ACT-030-S01,V-2211,Fuel and Lubricants,Fuel and Lubricants - Community Outreach,778000,124500,653500,CMT-848226,,PV-970969,Paid,2024-07-20,FY2023/2024-M12,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000061,FY2023/2024,2024-05-22,2024-05-26,DOC-308314,INV-188498,SUP-7791,Travel and Accommodation,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-022,ACT-022-S02,V-2460,Consultancy,Consultancy - Stakeholder Engagement,159000,0,159000,CMT-495648,,PV-698097,Pending Payment,,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000062,FY2023/2024,2023-10-02,2023-10-05,DOC-193387,INV-485792,SUP-3787,Construction,PRG-02,DIR-02,CC-002,RG-01,FS-05,DON-02,ACT-003,ACT-003-S01,V-2220,Training,Training - Financial Accounting and Reporting,430000,0,430000,CMT-853489,PO-910926,PV-575747,Paid,2023-11-17,FY2023/2024-M04,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000063,FY2023/2024,2024-05-10,2024-05-15,DOC-316642,INV-729232,SUP-4531,Training,PRG-11,DIR-11,CC-032,RG-01,FS-01,DON-00,ACT-025,ACT-025-S01,V-2380,Office Furniture,Office Furniture - Technical Service Delivery,740000,0,740000,,PO-289131,PV-528368,Paid,2024-05-28,FY2023/2024-M11,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000064,FY2023/2024,2023-09-22,2023-09-27,DOC-438947,INV-826687,SUP-7513,Equipment,PRG-02,DIR-02,CC-002,RG-01,FS-02,DON-00,ACT-005,ACT-005-S03,V-2510,Cleaning Services,Cleaning Services - Internal Controls and Compliance,206000,33000,173000,CMT-502124,,PV-871861,Paid,2023-10-02,FY2023/2024-M03,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000065,FY2023/2024,2024-04-20,2024-04-25,DOC-884588,INV-949192,SUP-1745,Professional Services,PRG-13,DIR-13,CC-017,RG-04,FS-01,DON-00,ACT-029,ACT-029-S01,V-2211,Cleaning Services,Cleaning Services - Regional Service Coordination,213000,0,213000,CMT-749758,PO-513869,PV-803869,Cancelled,,FY2023/2024-M10,Accounts Officer,Chief Accountant,IFMIS,Clean
TXN-0000066,FY2023/2024,2023-12-29,2024-01-01,DOC-553959,INV-248683,SUP-5266,ICT Services,PRG-09,DIR-09,CC-009,RG-01,FS-01,DON-00,ACT-021,ACT-021-S03,V-2340,Printing and Stationery,Printing and Stationery - Public Communications,280000,0,280000,CMT-234082,PO-975355,PV-394650,Paid,2024-01-26,FY2023/2024-M06,Accounts Officer,Chief Accountant,IFMIS,Clean
